Sample,"Fuc per glycan",Intensity
NP1,0,22.9590306167185
NP1,1,130.682393638313
NP1,2,96.1221197871787
NP1,3,237.766941966099
NP1,4,136.380873596581
NP1,5,39.3236537205451
NP2,0,64.3144923201998
NP2,1,243.982654948057
NP2,2,186.184225638666
NP2,3,215.6559520519
NP2,4,80.930239725945
NP3,0,71.0522448731452
NP3,1,186.938301383632
NP3,2,147.481137252847
NP3,3,76.4699379963568
NP3,4,11.9849560575824
NP4,0,15.6317194435039
NP4,1,77.7474353125789
NP4,2,64.6801639242427
NP4,3,81.9531883459708
NP4,4,47.1688552354939
NP4,5,7.44536047612153
P1,0,160.695112682231
P1,1,663.312466854912
P1,2,878.262526061557
P1,3,331.266971117631
P2,0,860.378248194394
P2,1,4501.74050200822
P2,2,2477.00991191919
P2,3,916.251993946491
P2,4,131.686138785713
P2,5,4.29773646968182
P3,0,461.740802166034
P3,1,2913.05692892089
P3,2,219.518451387778
P3,3,54.578548721524
P4,0,1727.60278676013
P4,1,4624.17002357797
P4,2,1627.0481651143
P4,3,1012.11579800674
P4,4,166.150372927898
P5,0,1596.25055988635
P5,1,2332.41759089193
P5,2,317.502008429756
P5,3,79.5363695256541
P6,0,1662.9831481688
P6,1,3998.23054625909
P6,2,1263.34685865778
P6,3,623.754370535996
P6,4,55.7889561264143
