Sample,"NeuAc per glycan",Intensity
NP1,0,527.777039937433
NP1,1,58.6137750203508
NP1,2,76.8441983676516
NP2,0,626.743559349502
NP2,1,94.0367755927603
NP2,2,70.2872297425069
NP3,0,199.091028138047
NP3,1,130.402819827747
NP3,2,164.432729597769
NP4,0,229.857366738369
NP4,1,37.3411732579385
NP4,2,27.428182741604
P1,0,1273.65274643311
P1,1,743.002330302508
P1,2,16.8819999807159
P2,0,2738.8566847178
P2,1,5369.17075339957
P2,2,783.337093206322
P3,0,3141.04472675231
P3,1,371.663425169157
P3,2,136.186579274767
P4,0,2507.5777116659
P4,1,4047.2539216327
P4,2,2602.25551308844
P5,0,4161.32925999472
P5,1,159.223040743736
P5,2,5.15422799523291
P6,0,5309.30750962527
P6,1,2266.36426866402
P6,2,28.4321014587903
